day_time,shr_value,shrv_value,sleep_duration,temperature,phase
2024-12-17,64.026665,43.16387,22187142,,luteal
2024-12-18,69.21118,41.22271,23627142,36.58,luteal
2024-12-19,69.405495,37.72183,24017142,36.34,luteal
2024-12-20,70.99102,41.28461,24510000,36.46,luteal
2024-12-21,70.79184,34.16239,24904285,36.53,luteal
2024-12-22,70.80623,35.681026,24810000,36.59,luteal
2024-12-23,68.029305,38.048187,25804285,36.71,luteal
2024-12-24,66.304184,38.915096,27090000,36.61,luteal
2024-12-25,71.02695,38.572796,27231428,36.57,luteal
2024-12-26,69.84583,38.26575,26365714,36.53,luteal
2024-12-27,62.618298,43.444157,26095714,36.79,follicular
2024-12-28,64.188286,46.51368,26001428,36.86,follicular
2024-12-29,66.48819,43.177525,25658571,36.56,follicular
2024-12-30,64.98545,42.040398,25122857,36.25,follicular
2024-12-31,65.45675,50.093082,25101428,36.0,follicular
2025-01-01,70.70251,35.475586,24780000,36.11,follicular
2025-01-02,71.64985,40.73022,24437142,36.06,follicular
2025-01-03,68.51168,36.435074,27788571,36.3,follicular
2025-01-04,67.66543,36.295925,27638571,36.46,follicular
2025-01-05,68.18833,38.249012,29177142,36.43,follicular
2025-01-06,64.55173,60.105007,28487142,36.46,follicular
2025-01-07,65.30363,37.653908,29378571,36.38,follicular
2025-01-08,68.10774,40.991528,29061428,36.36,follicular
2025-01-09,67.16144,39.995388,27227142,36.16,follicular
2025-01-10,64.43402,39.32265,26935714,36.0,follicular
2025-01-11,62.816406,47.891903,27068571,35.99,follicular
2025-01-12,67.589745,39.97106,25615714,36.05,follicular
2025-01-13,67.271736,41.202553,26421428,35.97,follicular
2025-01-14,67.181816,41.733772,26365714,36.13,follicular
2025-01-15,67.98137,43.673897,26785714,36.21,luteal
2025-01-16,68.82143,38.224884,26922857,36.43,luteal
2025-01-17,67.07085,39.88096,27805714,36.55,luteal
2025-01-18,87.61613,35.411175,28165714,36.72,luteal
2025-01-19,79.67048,34.082943,29567142,36.94,luteal
2025-01-20,84.85672,35.31948,29438571,37.04,luteal
2025-01-21,74.60969,37.554077,29511428,,luteal
2025-01-22,68.85673,49.952755,29867142,36.85,luteal
2025-01-23,73.86946,34.435646,31701428,36.53,follicular
2025-01-23,73.86946,34.435646,31701428,36.53,follicular
2025-01-23,73.86946,34.435646,31701428,36.53,follicular
2025-01-24,65.97098,44.07177,31002857,36.6,follicular
2025-01-25,63.524216,56.02052,31915714,36.53,follicular
2025-01-26,63.072132,43.447887,30810000,,follicular
2025-01-27,67.19668,39.74304,31744285,36.33,follicular
2025-01-28,66.160255,41.571915,31821428,36.26,follicular
2025-01-29,65.44631,41.664852,31002857,36.22,follicular
2025-01-30,68.39429,34.80872,30167142,36.22,follicular
2025-01-31,66.2659,47.818573,29811428,36.22,follicular
2025-02-01,72.0611,30.873474,29447142,36.31,follicular
2025-02-02,69.281845,35.227005,30218571,36.34,follicular
2025-02-04,68.20071,55.232533,29215000,36.28,follicular
2025-02-05,65.95066,38.437202,29410000,36.38,follicular
2025-02-06,68.427864,42.24527,27910000,36.28,follicular
2025-02-07,67.65549,36.368427,27570000,36.24,follicular
2025-02-08,68.149124,46.9839,26010000,36.1,follicular
2025-02-09,70.617836,33.38984,25160000,36.21,follicular
2025-02-10,68.872246,35.485847,24257142,36.43,luteal
2025-02-11,70.70347,37.277454,24394285,36.65,luteal
2025-02-12,69.52493,41.05563,25110000,36.84,luteal
2025-02-13,73.09375,32.817932,25692857,36.89,luteal
2025-02-14,71.79775,41.47735,26258571,36.84,luteal
2025-02-15,77.960976,29.478197,28127142,36.83,luteal
2025-02-16,71.29201,36.733418,28474285,36.83,luteal
2025-02-17,69.7196,35.14436,29395714,36.9,luteal
2025-02-18,65.27302,41.4061,29460000,36.83,luteal
2025-02-19,63.07616,44.88755,28787142,36.57,follicular
2025-02-20,67.5,41.491356,29425714,36.45,follicular
2025-02-21,68.812675,36.763477,29228571,36.23,follicular
2025-02-22,66.40328,40.84094,28530000,36.22,follicular
2025-02-23,67.90909,38.639202,28114285,36.29,follicular
2025-02-24,63.643078,42.903557,28602857,36.46,follicular
2025-02-25,65.40467,50.453846,27745714,36.59,follicular
2025-02-26,66.20679,45.507656,27732857,36.4,follicular
2025-02-27,70.09278,32.811886,27025714,36.41,follicular
2025-02-28,74.41791,36.5298,25714285,36.37,follicular
2025-03-01,76.463554,32.807148,25885714,36.4,follicular
2025-03-02,66.38907,37.157127,26190000,36.27,follicular
2025-03-03,69.44444,37.0429,24737142,36.31,follicular
2025-03-04,67.105804,40.565445,25392857,36.38,follicular
2025-03-05,64.87055,40.82636,26001428,36.34,follicular
2025-03-06,71.45595,34.4288,28320000,36.41,follicular
2025-03-07,66.41089,41.00175,27467142,36.58,luteal
2025-03-08,66.483765,44.317375,26682857,,luteal
2025-03-09,68.43066,41.548447,25097142,36.92,luteal
